Título,URL,Copete,Sección
Chaco salteño: El 32% de los casos de gripe de la provincia se registra en Rivadavia,https://www.eltribuno.com/municipios/2024-5-22-0-0-0-chaco-salteno-el-32-de-los-casos-de-gripe-de-la-provincia-se-registra-en-rivadavia,Llamativa la cantidad de diagnósticos. Hay una situación compleja en Bolivia que puede empeorar el panorama.,Municipios
"Javier Milei: ""Voy a vetar proyectos del Congreso que nos rompan el equilibrio fiscal, me importa tres carajos""",https://www.eltribuno.com/nacionales/2024-5-21-20-34-0-javier-milei-voy-a-vetar-proyectos-del-congreso-que-nos-rompan-el-equilibrio-fiscal-me-importa-tres-carajos,"También aludió al conflicto con España: ""Ya lo tengo match point a Pedrito"", dijo sobre su par de ese país.",Nacionales
Copa Argentina: Papelón de River en Mendoza y batacazo del modesto Temperley,https://www.eltribuno.com/deportes/2024-5-21-21-18-0-river-en-vivo-minuto-a-minuto-ya-juega-en-mendoza-ante-temperley-por-la-copa-argentina,"El millonario ganaba 1 a 0, hasta que una asombrosa pirueta sobre la hora le dio el empate al gasolero, que se agigantó en los penales (5-4) con un soberbio arquero Rago. Traspié que desestabiliza a Demichelis.",Deportes
Violento ataque a un árbitro en La Loma: cobró una falta y un jugador le fracturó la nariz,https://www.eltribuno.com/deportes/2024-5-21-20-19-0-violento-ataque-a-un-arbitro-en-la-loma-cobro-una-falta-y-un-jugador-le-fracturo-la-nariz,El referee Franco Acosta contó a El Tribuno el salvaje hecho de que vivió en Los Profesionales. Ahora deberá someterse a una cirugía.,Deportes
"Paro nacional de docentes: Salta, a través de la ADP, se adhiere al reclamo por ""demandas salariales""",https://www.eltribuno.com/salta/2024-5-20-17-26-0-paro-nacional-de-docentes-salta-a-traves-de-la-adp-se-adhiere-al-reclamo-de-demandas-salariales,"La medida de fuerza afectará el jueves 23 a todo el sistema educativo del país (inicial, primaria, secundaria, técnica, institutos de educación superior y nivel universitario),incluyendo a Salta.",Salta
Dólar blue en Salta: sigue la suba desde el viernes y no se detiene,https://www.eltribuno.com/salta/2024-5-21-17-5-0-dolar-blue-en-salta-sigue-la-suba-desde-el-viernes-y-no-se-detiene,La moneda paralela aumentó $120 desde el viernes hasta hoy en la city salteña y cerró la cotización en $1260.,Salta
Mensaje a la Nación: Sáenz propone el Pacto de Güemes,https://www.eltribuno.com/salta/2024-5-21-13-59-0-el-gobernador-saenz-propone-un-pacto-de-guemes-el-proximo-17-de-junio,"La idea es que políticos opositores y oficialistas, empresarios y ciudadanos de Salta firmen un acuerdo para reclamar por obras y fondos al presidente.",Salta
Javier Milei redobla la apuesta contra Pedro Sánchez y lo desafía de cara a un nuevo viaje a España,https://www.eltribuno.com/nacionales/2024-5-21-15-47-0-milei-redobla-la-pauesta-contra-pedro-sanchez-y-lo-desafia-de-cara-un-nuevo-viaje-a-espana,"El libertario retomó los cruces con el gobierno español en medio de la crisis diplomática. ""Veremos hasta donde le llega el totalitarismo en sangre"", escribió en X el Presidente. En una entrevista había declarado contra su par español: “Se convertirá en el hazmerreír de todo el mundo por la payasada que está haciendo”.",Nacionales
La chicana de Milei contra el portavoz del gobierno de Pedro Sánchez,https://www.eltribuno.com/nacionales/2024-5-21-16-48-0-la-chicana-de-milei-contra-el-portavoz-del-gobierno-de-pedro-sanchez,El mandatario destacó a Manuel Adorni y envió un nuevo mensaje contra la administración española.,Gobierno de Javier Milei
"España tiene 117 multinacionales instaladas en Argentina, pero la diplomacia está en crisis",https://www.eltribuno.com/nacionales/2024-5-21-10-45-0-espana-tiene-117-multinacionales-instaladas-en-argentina-pero-la-diplomacia-esta-en-crisis,"España es el segundo país, después de Estados Unidos, que más invierte en la Argentina. La actividad comercial entre ambos países, cae en picada.",Nacionales
